SZN & Range,QB,RB,WR,TE
2025_TOP-60,21,20,17,2
2025_TOP-48,20,16,11,1
2025_TOP-36,15,13,7,1
2025_TOP-24,12,6,5,1
2025_TOP-12,5,4,3,0
2024_TOP-60,19,18,19,4
2024_TOP-48,17,16,13,2
2024_TOP-36,16,11,8,1
2024_TOP-24,13,6,5,0
2024_TOP-12,7,4,1,0
2023_TOP-60,19,14,23,4
2023_TOP-48,19,12,16,1
2023_TOP-36,15,7,14,0
2023_TOP-24,13,3,8,0
2023_TOP-12,7,1,4,0
2022_TOP-60,20,17,21,2
2022_TOP-48,17,13,17,1
2022_TOP-36,14,9,12,1
2022_TOP-24,11,6,6,1
2022_TOP-12,4,3,4,1
2021_TOP-60,22,12,24,2
2021_TOP-48,20,8,18,2
2021_TOP-36,16,7,11,2
2021_TOP-24,12,4,7,1
2021_TOP-12,7,2,3,0
2020_TOP-60,22,10,26,2
2020_TOP-48,20,8,18,2
2020_TOP-36,18,6,10,2
2020_TOP-24,14,3,5,2
2020_TOP-12,10,1,1,0
