POS & RANGE,2025,2024,2023,2022,2021,2020,2019
ALL_TOP-60,10,9,7,8,10,12,4
QB_TOP-60,9,10,6,8,11,11,5
RB_TOP-60,10,11,7,9,7,7,9
WR_TOP-60,6,8,12,8,11,9,6
TE_TOP-60,12,10,9,5,11,6,7
ALL_TOP-48,9,8,6,7,6,9,3
QB_TOP-48,6,9,5,4,9,10,5
RB_TOP-48,9,9,6,6,6,5,7
WR_TOP-48,6,7,9,6,8,7,5
TE_TOP-48,11,7,9,5,6,4,6
ALL_TOP-36,4,5,5,6,6,7,3
QB_TOP-36,4,6,4,4,6,10,2
RB_TOP-36,8,6,3,6,4,3,6
WR_TOP-36,5,5,7,6,7,5,1
TE_TOP-36,7,6,7,4,4,2,6
ALL_TOP-24,1,5,4,3,4,5,2
QB_TOP-24,2,5,2,4,4,6,1
RB_TOP-24,6,4,1,4,2,3,4
WR_TOP-24,4,3,3,5,5,3,1
TE_TOP-24,2,4,6,2,3,2,5
ALL_TOP-12,1,2,2,2,2,1,2
QB_TOP-12,0,2,1,2,3,3,1
RB_TOP-12,4,2,1,2,1,1,1
WR_TOP-12,2,1,2,2,3,1,1
TE_TOP-12,1,3,2,1,2,2,1
